"CAS","DTXSID","name","mw","log.kow","water.sol.mg.l","half.air.hr","half.sediment.hr","vp.pa","kp","fabs"
"14860-64-1","DTXSID80164033","4-Azidoaniline",134.142,1.35696,6483.9816114,6.02,3240,0.002080042599824,0.00368977772669455,0.99885273921763
"14861-16-6","DTXSID90933439","2-Phenylethyl hexopyranoside",284.308,-0.190779,6404.179854,3.33,3240,1.884498650411e-07,3.01613921450932e-05,0.969124713606791
"14861-17-7","DTXSID3065825","Benzenamine, 4-(2,4-dichlorophenoxy)-",254.11,4.38412,0.760652874,3.62,13000,0.0007214901121718,0.020555260430181,0.999477726028867
"14862-52-3","DTXSID60164036","Benzene, 1,3-dibromo-5-chloro-",270.35,4.12273,8.052780275,472,13000,8.138825284418,0.0171940711273491,0.999598479282208
"14865-38-4","DTXSID80933443","1-(2-Methylphenyl)methanamine--hydrogen chloride (1/1)",157.64,1.47332,40901.58968,7.13,3240,11.731543721182,0.00310228237970277,0.999062682862725
"14868-03-2","DTXSID5022485","Bis(4-hydroxyphenyl)-2,2-dichloroethylene",281.13,4.18927,109.4804559,3.54,8100,1.998995918943e-07,0.0159760441056079,0.99957433669459
"14869-38-6","DTXSID20311701","1-ethoxy-4-methylpentan-2-one",144.214,1.38616,15786.38551,13.4,3240,288.6443075739,0.00327844823151173,0.998910816801539
"148691-66-1","DTXSID30893240","1,1',1''-Nitrilotri(2-propanol) acetate (1:1)",251.323,0.307466,931619.17578,4.42,3240,0.002284105849958,6.89598931363593e-05,0.989816670480214
"1487-15-6","DTXSID10164066","2,3-Dihydro-5-methylfuran",84.118,1.19556,41013.581496,0.552,3240,13325.386229154,0.00647368640158748,0.998450864823664
"1487-18-9","DTXSID8073261","Furan, 2-ethenyl-",94.113,2.18773,3287.4047352,3.06,3240,2420.694638513,0.0385687328615587,0.999613333092563
"1487-55-4","DTXSID20933462","9-(Hexadecanoyloxy)-6-hydroxy-2-methyl-6-oxo-5,7-dioxa-2-aza-6lambda~5~-phosphadecan-10-yl hexadecanoate",720.026,9.3791,0.0189700210038,1.51,13000,4.804845609927e-07,0.00281202671209999,0.0362684475147567
